 ,Label,Area,Min,Max,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,Slice,AR,Round,Solidity,mm
119,NM:118,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,118,1.00000,1.00000,1.00000,-521.33108
120,NM:119,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,119,1.00000,1.00000,1.00000,-525.74914
121,NM:120,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,120,1.00000,1.00000,1.00000,-530.16720
122,NM:121,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,121,1.00000,1.00000,1.00000,-534.58526
123,NM:122,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,122,1.00000,1.00000,1.00000,-539.00332
124,NM:123,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,123,1.00000,1.00000,1.00000,-543.42138
125,NM:124,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,124,1.00000,1.00000,1.00000,-547.83944
126,NM:125,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,125,1.00000,1.00000,1.00000,-552.25750
127,NM:126,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,126,1.00000,1.00000,1.00000,-556.67556
128,NM:127,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,127,1.00000,1.00000,1.00000,-561.09362
129,NM:128,319803.46022,0,0,0,0,565.51168,565.51168,1.00000,0.00000,0,128,1.00000,1.00000,1.00000,-565.51168
